,Cost ($),Emission (kg CO2)
5,425502.14262897737,4722826.400752091
6,423600.2044356482,4765305.985877091
7,421698.26624231925,4807785.571002091
8,419796.3280489901,4850265.156127091
9,417879.6303606492,4893076.425259255
10,,
0,413045.8956017317,4283343.061621634
1,411327.70446503535,4320972.382573451
2,409429.75073272863,4362448.88747345
3,407531.7970004217,4403925.39237345
4,405633.8432681151,4445401.89727345
5,403735.88953580835,4486878.402173451
6,401837.93580350163,4528354.907073451
7,399939.98207119486,4569831.411973451
8,398042.028338888,4611307.91687345
9,396135.6990671041,4652961.976300422
10,,
0,394883.6067400451,4054856.9298202074
1,393040.64686617395,4096026.066118136
2,391016.5824016222,4141155.4165581367
3,388992.51793707034,4186284.766998137
4,386968.45347251865,4231414.117438136
5,384944.3890079669,4276543.467878137
6,382920.32454341504,4321672.818318136
7,380896.2600788633,4366802.168758136
8,378872.19561431155,4411931.519198136
9,376834.26126367843,4457297.398549146
10,,
0,415290.40351724357,4291945.108328979
1,413568.55255709065,4330364.707107485
2,411699.4885672889,4372007.417312484
3,409830.42457748705,4413650.127517484
4,407961.36058768525,4455292.837722483
5,406092.29659788345,4496935.547927483
6,404223.23260808166,4538578.258132484
7,402354.16861827986,4580220.968337484
8,400485.1046284782,4621863.6785424845
9,398603.0800205158,4663773.571434804
10,,
0,384759.29030616174,3954248.0599562232
1,383216.5260952265,3988943.4601213695
2,381494.9137542212,4027571.7280363687
3,379773.30141321593,4066199.9959513685
4,378051.68907221075,4104828.263866369
5,376330.07673120545,4143456.531781369
6,374608.46439020016,4182084.799696368
7,372886.8520491948,4220713.067611368
8,371165.2397081897,4259341.335526368
9,369435.6828922394,4298136.814844978
10,,
0,393754.51110264944,4047140.412305847
1,392063.66639331024,4084950.870329713
2,390188.3803546822,4126726.682529712
3,388313.0943160541,4168502.4947297135
4,386437.80827742605,4210278.306929713
5,384562.52223879803,4252054.119129713
6,382687.23620017,4293829.931329713
7,380811.95016154187,4335605.743529714
8,378936.66412291385,4377381.555729712
9,377045.1783051152,4419545.143485884
0,410954.0926801083,4243953.64190924
1,409219.08095375804,4282182.232214076
2,407313.64026658086,4324139.495404076
3,405408.19957940385,4366096.758594076
4,403502.7588922268,4408054.0217840765
5,401597.31820504984,4450011.284974075
6,399691.8775178728,4491968.548164076
7,397786.43683069583,4533925.8113540765
8,395880.9961435188,4575883.074544076
9,393952.2786471789,4618317.771390247
10,,
0,423761.962132254,4351009.6544204615
1,421975.92831659445,4390599.924116198
2,420014.2126229529,4434040.907561199
3,418052.4969293114,4477481.8910062
4,416090.78123566974,4520922.874451198
5,414129.06554202817,4564363.8578961985
6,412167.34984838666,4607804.841341199
7,410205.6341547452,4651245.824786198
8,408243.9184611035,4694686.808231199
9,406263.06715748546,4738524.92595096
10,,
0,414019.40713535214,4236311.893363094
1,412256.5771022184,4275016.528711616
2,410320.56669094006,4317346.371126615
3,408384.5562796618,4359676.213541617
4,406448.5458683835,4402006.055956616
5,404512.5354571051,4444335.898371615
6,402576.5250458268,4486665.740786615
7,400640.51463454845,4528995.583201616
8,398704.50422327017,4571325.4256166145
9,396760.5913489075,4613809.243703043
10,,
0,413083.2898129969,4235116.497290054
1,411461.7568705036,4271337.363708578
2,409667.48047915654,4311333.174568579
3,407873.20408780966,4351328.985428579
4,406078.92769646284,4391324.79628858
5,404284.6513051159,4431320.607148578
6,402490.374913769,4471316.418008579
7,400696.09852242214,4511312.2288685795
8,398901.8221310751,4551308.03972858
9,397097.58345429564,4591547.598640094
10,,
0,429775.3504033243,4461044.31491754
1,428179.64141404396,4495472.819685681
2,426381.39788135,4534213.7470406825
3,424583.15434865607,4572954.674395682
4,422784.91081596195,4611695.601750682
5,420986.66728326795,4650436.529105682
6,419188.42375057406,4689177.456460682
7,417390.1802178798,4727918.3838156825
8,415591.93668518594,4766659.311170682
9,413774.67532499717,4805823.35694556
10,,
0,401548.19919254666,4126851.4594241963
1,399885.08286102075,4163626.6370634045
2,398059.4225627366,4203962.620988403
3,396233.7622644523,4244298.604913405
4,394408.1019661681,4284634.588838404
5,392582.4416678838,4324970.572763405
6,390756.7813695995,4365306.556688405
7,388931.1210713153,4405642.5406134045
8,387105.460773031,4445978.524538404
9,385255.9941190652,4486801.0101656765
10,,
0,416577.13318625494,4314016.545960458
1,414907.34611771046,4351145.6416607285
2,413062.5277746937,4392018.610300729
3,411217.70943167724,4432891.57894073
4,409372.8910886606,4473764.54758073
5,407528.07274564396,4514637.51622073
6,405683.25440262735,4555510.484860728
7,403838.43605961074,4596383.453500728
8,401993.6177165941,4637256.42214073
9,400131.22193133284,4678515.714370069
10,,
0,421138.3228111649,4373799.044565806
1,419446.16359767306,4410773.653814808
2,417582.47212579934,4451449.51989981
3,415718.7806539255,4492125.385984809
4,413855.0891820517,4532801.2520698095
5,411991.39771017793,4573477.11815481
6,410127.7062383043,4614152.984239809
7,408264.0147664305,4654828.850324809
8,406400.32329455676,4695504.716409809
9,404516.807072999,4736609.571761779
10,,
0,417748.39285698463,4313301.136370922
1,416043.26146305935,4351163.340869047
2,414168.63550552155,4392667.416774047
3,412294.00954798365,4434171.492679048
4,410419.38359044574,4475675.568584047
5,408544.7576329078,4517179.644489046
6,406670.13167536986,4558683.720394047
7,404795.5057178319,4600187.796299047
8,402920.87976029405,4641691.872204047
9,401037.0013673491,4683376.291975799
10,,
0,405285.69677764626,4237768.739283962
1,403631.38363365195,4274301.696784565
2,401803.58535334107,4314586.352949565
3,399975.7870730303,4354871.009114564
4,398147.98879271955,4395155.665279564
5,396320.1905124088,4435440.321444565
6,394492.39223209803,4475724.9776095655
7,392664.5939517873,4516009.6337745655
8,390836.7956714765,4556294.289939566
9,388989.5007042783,4596977.482833108
10,,
0,414757.1922760202,4291520.128923756
1,412937.1958966195,4331659.390907891
2,410961.6609824676,4375158.258607891
3,408986.12606831576,4418657.126307892
4,407010.59115416394,4462155.994007891
5,405035.05624001205,4505654.861707892
6,403059.5213258602,4549153.729407891
7,401083.9864117084,4592652.597107891
8,399108.45149755647,4636151.464807891
9,397119.8678117632,4679943.718257961
10,,
0,405807.82946852304,4243717.1056738775
1,404108.66826387827,4280757.831079862
2,402228.28159577213,4321616.785909862
3,400347.89492766606,4362475.7407398615
4,398467.5082595602,4403334.695569863
5,396587.1215914541,4444193.650399862
6,394706.734923348,4485052.605229862
7,392826.34825524205,4525911.560059861
8,390945.961587136,4566770.514889861
9,389049.6210258456,4607962.677066597
10,,
0,431368.90246903186,4535567.093706462
1,429559.3640883107,4575950.996163042
2,427584.88410682726,4619905.977718041
3,425610.4041253439,4663860.959273042
4,423635.92414386047,4707815.940828042
5,421661.44416237716,4751770.922383042
6,419686.9641808938,4795725.903938042
7,417712.4841994105,4839680.885493042
8,415738.00421792705,4883635.867048043
9,413753.4034224288,4927797.73783775
10,,
0,445579.5499074074,4633118.219665491
1,443881.5490560755,4669947.321641144
2,442024.1714414004,4710253.611721143
3,440166.79382672533,4750559.901801145
4,438309.41621205024,4790866.191881145
5,436452.0385973751,4831172.481961145
6,434594.66098270006,4871478.772041145
7,432737.28336802503,4911785.062121144
8,430879.90575334994,4952091.352201144
9,429009.1165518605,4992709.911035749
10,,
0,412181.64897376986,4244450.576300983
1,410509.878706864,4281966.058805388
2,408666.5633116148,4323263.277165388
3,406823.2479163656,4364560.495525388
4,404979.9325211164,4405857.713885388
5,403136.617125867,4447154.932245388
6,401293.30173061776,4488452.150605388
7,399449.98633536854,4529749.368965388
8,397606.6709401193,4571046.587325388
9,395744.5831905566,4612739.421351366
10,,
0,409603.18281386973,4190476.86109171
1,407903.08149094286,4229237.454005695
2,406043.81363046356,4271543.252045695
3,404184.5457699841,4313849.050085695
4,402325.27790950466,4356154.848125695
5,400466.0100490252,4398460.646165697
6,398606.7421885459,4440766.444205697
7,396747.4743280665,4483072.2422456965
8,394888.2064675871,4525378.040285696
9,393011.1501291523,4568069.109345964
10,,
0,425749.74375424423,4388633.473350784
1,424002.74284120754,4427248.310703785
2,422055.6699230176,4470116.151073784
3,420108.59700482764,4512983.991443784
4,418161.5240866376,4555851.831813784
5,416214.4511684477,4598719.672183784
6,414267.3782502577,4641587.512553783
7,412320.3053320678,4684455.3529237835
8,410373.2324138778,4727323.193293785
9,408415.8173064905,4770417.727719314
10,,
0,406594.14559653896,4190272.220006575
1,404858.5491200986,4229123.4649238065
2,402948.68365248805,4271793.535883807
3,401038.8181848776,4314463.606843807
4,399128.95271726704,4357133.677803807
5,397219.0872496565,4399803.748763807
6,395309.2217820459,4442473.819723807
7,393399.3563144355,4485143.890683807
8,391489.4908468249,4527813.961643807
9,389570.1810501249,4570700.962742487
10,,
0,414227.65960815386,4301811.473991674
1,412445.8941273635,4341659.87299293
2,410490.6044999198,4385335.539027929
3,408535.31487247616,4429011.2050629305
4,406580.02524503256,4472686.87109793
5,404624.735617589,4516362.537132929
6,402669.44599014544,4560038.20316793
7,400714.15636270173,4603713.8692029305
8,398758.86673525814,4647389.53523793
9,396788.06029891723,4691416.470783013
10,,
0,406345.4868011804,4323878.46301429
1,404617.2584687552,4361501.741582141
2,402720.65347558015,4402653.647237142
3,400824.0484824049,4443805.552892141
4,398927.4434892298,4484957.458547142
5,397030.83849605446,4526109.364202143
6,395134.2335028792,4567261.269857141
7,393237.6285097041,4608413.1755121425
8,391341.0235165289,4649565.081167143
9,389425.6750869781,4691137.536006856
10,,
0,408959.63138140424,4233109.353226097
1,407370.6820785045,4268286.320105473
2,405617.86633344315,4306945.737485472
3,403865.0505883819,4345605.154865473
4,402112.2348433206,4384264.572245473
5,400359.4190982595,4422923.9896254735
6,398606.6033531982,4461583.407005472
7,396853.78760813695,4500242.824385473
8,395100.97186307557,4538902.241765472
9,393338.97587467165,4577743.475930599
10,,
0,415383.7008405663,4320910.132718651
1,413780.4051347632,4355579.071824224
2,412007.10777250887,4393939.990379224
3,410233.8104102544,4432300.9089342225
4,408460.5130479999,4470661.827489222
5,406687.2156857454,4509022.746044224
6,404913.9183234909,4547383.664599222
7,403140.6209612365,4585744.583154223
8,401367.323598982,4624105.501709224
9,399573.24847059563,4662926.079270607
10,,
0,403288.78561110824,4168510.336510308
1,401592.8515150512,4206348.370830506
2,399705.2186864076,4248358.194020506
3,397817.58585776394,4290368.017210506
4,395929.9530291202,4332377.840400506
5,394042.3202004765,4374387.663590507
6,392154.6873718329,4416397.486780506
7,390267.0545431891,4458407.3099705065
8,388379.4217145455,4500417.133160505
9,386478.5051957906,4542718.5928580295
10,,
0,429879.4639560864,4468931.860921774
1,428097.0326408642,4508682.8563318625
2,426132.61002482404,4552336.219041863
3,424168.18740878376,4595989.581751862
4,422203.7647927437,4639642.944461863
5,420239.3421767033,4683296.307171863
6,418274.91956066317,4726949.669881863
7,416310.49694462295,4770603.032591863
8,414346.07432858273,4814256.395301863
9,412362.8814161193,4858315.686401445
10,,
0,421630.13063340995,4294202.84506133
1,419948.05973870785,4332021.960125177
2,418122.22340291634,4373009.296770178
3,416296.3870671249,4413996.633415178
4,414470.5507313333,4454983.970060177
5,412644.7143955419,4495971.306705177
6,410818.87805975036,4536958.643350177
7,408993.0417239589,4577945.979995178
8,407167.2053881673,4618933.316640177
9,405327.43579781713,4660226.126615671
10,,
0,432536.3679879345,4446230.236639317
1,430770.201716477,4485931.318657874
2,428830.2321866807,4529406.768687875
3,426890.26265688456,4572882.218717875
4,424950.29312708834,4616357.668747874
5,423010.32359729207,4659833.118777875
6,421070.3540674959,4703308.568807875
7,419130.38453769975,4746784.018837875
8,417190.4150079034,4790259.468867874
9,415230.8416750726,4834164.933307608
10,,
0,420763.9338726009,4361899.374775969
1,418983.4506630739,4400902.467429076
2,417039.1480552646,4443447.087159076
3,415094.8454474552,4485991.706889076
4,413150.5428396457,4528536.326619077
5,411206.2402318363,4571080.946349077
6,409261.9376240269,4613625.566079076
7,407317.6350162174,4656170.185809077
8,405373.332408408,4698714.805539076
9,403408.3883701165,4741688.801623479
10,,
0,403693.5974199982,4204355.975139053
1,402165.24415303563,4237581.016826484
2,400459.58033140644,4274566.236876484
3,398753.91650977713,4311551.456926485
4,397048.2526881479,4348536.676976483
5,395342.5888665189,4385521.897026484
6,393636.9250448896,4422507.117076484
7,391931.26122326043,4459492.337126484
8,390225.5974016313,4496477.557176484
9,388506.77721945336,4533725.713773814
10,,
0,429922.5352103315,4415024.667499493
1,428321.5983714923,4450724.276063832
2,426554.5490448923,4490001.348998832
3,424787.49971829227,4529278.421933833
4,423020.45039169217,4568555.494868832
5,421253.4010650921,4607832.567803833
6,419486.351738492,4647109.640738834
7,417719.302411892,4686386.713673833
8,415952.25308529194,4725663.786608833
9,414166.9124310082,4765310.288062063
10,,
0,420176.04219512135,4364733.965875774
1,418368.2461301296,4404590.932576866
2,416383.2300023464,4448265.095906865
3,414398.2138745632,4491939.259236866
4,412413.1977467802,4535613.422566866
5,410428.18161899695,4579287.5858968645
6,408443.1654912137,4622961.749226866
7,406458.14936343057,4666635.912556866
8,404473.1332356475,4710310.075886866
9,402476.0150216514,4754261.454989407
10,,
0,408296.64922586206,4163616.238153105
1,406556.503110184,4202191.562559368
2,404644.4021503422,4244505.420164368
3,402732.30119050044,4286819.277769368
4,400820.2002306586,4329133.135374367
5,398908.0992708168,4371446.992979367
6,396995.998310975,4413760.850584368
7,395083.8973511332,4456074.708189367
8,393171.7963912914,4498388.565794367
9,391239.9338027117,4541146.355595892
0,422048.4759022883,4373374.297364601
1,420478.2992067368,4407769.971936927
2,418738.3010401127,4445739.414851926
3,416998.3028734884,4483708.857766927
4,415258.3047068643,4521678.300681928
5,413518.30654024007,4559647.743596928
6,411778.30837361596,4597617.186511928
7,410038.3102069919,4635586.629426927
8,408298.31204036775,4673556.072341927
9,406545.6877287806,4711792.497976973
10,,
0,406263.65284544276,4224182.608903947
1,404569.0401478571,4261949.674431968
2,402708.72445989377,4303307.229116966
3,400848.40877193026,4344664.783801967
4,398988.09308396693,4386022.338486967
5,397127.7773960036,4427379.893171966
6,395267.4617080402,4468737.447856966
7,393407.1460200768,4510095.002541967
8,391546.83033211343,4551452.557226966
9,389672.17288502597,4593145.416437539
10,,
0,421449.47696181276,4327159.812817502
1,419694.22037500696,4366183.268350661
2,417782.0490549673,4408612.15680066
3,415869.87773492775,4451041.045250661
4,413957.7064148883,4493469.933700661
5,412045.53509484866,4535898.82215066
6,410133.3637748091,4578327.71060066
7,408221.1924547695,4620756.599050662
8,406309.02113472996,4663185.48750066
9,404391.94628444134,4705726.314382201
10,,
0,428675.792124096,4465623.8878568625
1,426977.7964539799,4503388.915304794
2,425097.70162107237,4545056.604649794
3,423217.6067881648,4586724.293994794
4,421337.5119552572,4628391.983339794
5,419457.4171223498,4670059.672684795
6,417577.32228944224,4711727.362029796
7,415697.22745653475,4753395.051374795
8,413817.1326236271,4795062.740719793
9,411922.00412588625,4837063.380349965
10,,
0,399120.29321784055,4161733.855997365
1,397632.2407319189,4195004.786976499
2,395967.43207434734,4232033.840606498
3,394302.6234167757,4269062.8942364985
4,392637.8147592041,4306091.947866498
5,390973.00610163243,4343121.001496498
6,389308.1974440608,4380150.0551264975
7,387643.3887864892,4417179.1087564975
8,385978.5801289175,4454208.162386498
9,384306.4891873752,4491395.116326512
10,,
0,398550.1440596695,4085389.844328949
1,396810.3585988164,4124160.616638678
2,394892.1551674845,4166860.870543678
3,392973.95173615264,4209561.124448677
4,391055.7483048208,4252261.378353679
5,389137.54487348907,4294961.632258678
