,Cost ($),Emission (kg CO2)
7,393911.37001010077,4491709.456336967
8,392017.72203946445,4533301.970646966
9,390098.5550526828,4575433.327196584
10,,
0,421943.87359640765,4401962.518633292
1,420315.61244796484,4437655.411952038
2,418513.0891660661,4477058.639472039
3,416710.56588416744,4516461.86699204
4,414908.0426022688,4555865.09451204
5,413105.51932037,4595268.322032039
6,411302.9960384713,4634671.549552038
7,409500.47275657253,4674074.777072039
8,407697.9494746739,4713478.004592039
9,405882.88893447386,4753114.668523506
10,,
0,430954.88581015804,4444104.041034719
1,429223.9846559114,4483502.578529363
2,427328.6529691407,4526429.927039363
3,425433.32128236996,4569357.275549363
4,423537.98959559924,4612284.624059362
5,421642.6579088284,4655211.972569363
6,419747.3262220576,4698139.321079362
7,417851.99453528685,4741066.669589364
8,415956.66284851625,4783994.018099364
9,414052.05585549853,4827139.1494286
10,,
0,401392.9538094813,4120745.736884754
1,399727.30809166614,4158197.9799630456
2,397893.9791897245,4199372.811998046
3,396060.6502877828,4240547.6440330455
4,394227.321385841,4281722.476068046
5,392393.99248389935,4322897.308103046
6,390560.6635819577,4364072.140138046
7,388727.33468001615,4405246.972173046
8,386894.0057780743,4446421.804208046
9,385046.28618137696,4487905.082213156
10,,
0,420703.01217376307,4334943.381679156
1,419092.31585098023,4370372.988599378
2,417307.40030874545,4409634.6362693785
3,415522.4847665108,4448896.283939377
4,413737.5692242763,4488157.931609378
5,411952.65368204156,4527419.579279377
6,410167.73813980696,4566681.226949378
7,408382.82259757223,4605942.874619377
8,406597.9070553376,4645204.522289379
9,404793.0417212982,4684896.821049328
10,,
0,407358.5450457123,4229965.296701594
1,405681.9047192806,4266460.428181353
2,403819.80824584584,4306936.303101354
3,401957.7117724108,4347412.178021353
4,400095.6152989759,4387888.052941353
5,398233.5188255408,4428363.927861353
6,396371.42235210596,4468839.802781353
7,394509.325878671,4509315.677701352
8,392647.22940523596,4549791.552621354
9,390756.78479606786,4590903.986773386
10,,
0,435828.8023173184,4478117.078630286
1,434062.01557763404,4517505.736760556
2,432130.0842517259,4560536.859880555
3,430198.15292581765,4603567.983000557
4,428266.2215999095,4646599.106120556
5,426334.2902740014,4689630.229240555
6,424402.35894809326,4732661.352360555
7,422470.427622185,4775692.475480556
8,420538.49629627686,4818723.598600557
9,418585.26865957945,4862214.596380257
10,,
0,405016.3382559438,4195831.322640111
1,403389.3391166832,4231557.177401637
2,401577.9712852092,4271239.437566636
3,399766.60345373524,4310921.697731637
4,397955.23562226124,4350603.957896638
5,396143.8677907872,4390286.218061637
6,394332.49995931325,4429968.478226637
7,392521.1321278392,4469650.738391636
8,390709.76429636515,4509332.998556636
9,388883.4835894382,4549341.174408958
10,,
0,407546.4013425384,4220084.157289921
1,405901.7616802732,4256194.196906012
2,404094.86162332154,4295716.181191013
3,402287.96156636963,4335238.165476011
4,400481.06150941784,4374760.149761013
5,398674.16145246604,4414282.134046012
6,396867.2613955144,4453804.118331012
7,395060.3613385625,4493326.102616013
8,393253.4612816109,4532848.086901012
9,391428.4123556862,4572761.0162163805
10,,
0,411843.9399514969,4238663.8327336665
1,410180.3487543282,4275877.078232961
2,408346.8104011656,4316828.68247296
3,406513.2720480032,4357780.28671296
4,404679.7336948405,4398731.89095296
5,402846.1953416781,4439683.495192961
6,401012.65698851564,4480635.09943296
7,399179.11863535305,4521586.70367296
8,397345.5802821907,4562538.307912962
9,395499.4923144435,4603773.220336431
10,,
0,417494.0600315324,4314662.97849378
1,415742.66990155715,4354751.714590336
2,413823.7289721348,4398464.496380336
3,411904.7880427124,4442177.278170335
4,409985.8471132902,4485890.0599603355
5,408066.90618386783,4529602.841750335
6,406147.96525444544,4573315.623540335
7,404229.02432502306,4617028.405330336
8,402310.0833956007,4660741.187120336
9,400380.23523846886,4704707.201230665
10,,
0,423456.84215189633,4340163.282507749
1,421849.46804507636,4376458.967016981
2,420096.0995713517,4416012.792806981
3,418342.7310976272,4455566.618596981
4,416589.36262390256,4495120.444386981
5,414835.9941501782,4534674.27017698
6,413082.62567645375,4574228.095966981
7,411329.25720272923,4613781.92175698
8,409575.88872900483,4653335.74754698
9,407805.1970525735,4693261.114660398
10,,
0,405139.0479569757,4160468.7655875706
1,403445.4871411004,4197323.735293511
2,401572.55180092773,4238119.455333511
3,399699.6164607551,4278915.175373511
4,397826.68112058245,4319710.8954135105
5,395953.74578040984,4360506.615453511
6,394080.81044023705,4401302.3354935115
7,392207.8751000644,4442098.055533512
8,390334.9397598917,4482893.775573511
9,388435.82510413794,4524276.593310438
10,,
0,427293.1323622929,4491186.63761194
1,425627.9812243285,4527204.078029532
2,423789.32933290565,4566902.571204533
3,421950.6774414827,4606601.064379531
4,420112.02555006,4646299.557554533
5,418273.37365863705,4685998.050729532
6,416434.72176721436,4725696.543904533
7,414596.0698757913,4765395.037079532
8,412757.41798436857,4805093.530254532
9,410911.1553024723,4844954.631990953
10,,
0,421364.4870307829,4382552.740216399
1,419716.93140049535,4418887.022919689
2,417877.7522408662,4459425.271229689
3,416038.57308123715,4499963.519539689
4,414199.39392160793,4540501.767849689
5,412360.21476197883,4581040.01615969
6,410521.03560234973,4621578.26446969
7,408681.85644272063,4662116.51277969
8,406842.6772830915,4702654.76108969
9,404990.24768205185,4743476.916416911
10,,
0,412867.0445595153,4305447.438726933
1,411176.41766736284,4342537.6538076205
2,409303.55546804494,4383458.38671262
3,407430.69326872705,4424379.1196176205
4,405557.8310694091,4465299.85252262
5,403684.9688700912,4506220.5854276195
6,401812.1066707733,4547141.31833262
7,399939.24447145546,4588062.05123762
8,398066.3822721375,4628982.784142619
9,396180.39591065963,4670192.040192823
10,,
0,431200.69811539975,4462467.665640529
1,429539.9243726795,4499468.69856373
2,427701.56469872105,4540297.567903728
3,425863.2050247625,4581126.437243729
4,424024.84535080404,4621955.30658373
5,422186.4856768456,4662784.175923728
6,420348.126002887,4703613.045263729
7,418509.7663289284,4744441.91460373
8,416671.4066549699,4785270.7839437295
9,414826.0328013706,4826257.587360143
10,,
0,427506.4850877352,4397235.68927598
1,425817.69823802606,4434224.385813263
2,423954.06783716765,4474963.314043263
3,422090.4374363093,4515702.242273263
4,420226.807035451,4556441.170503263
5,418363.1766345928,4597180.098733262
6,416499.54623373435,4637919.026963264
7,414635.915832876,4678657.9551932635
8,412772.2854320178,4719396.883423261
9,410885.19224152266,4760620.748469542
10,,
0,420517.4389947855,4300735.1588077005
1,418863.341938362,4337306.14967131
2,417054.3710337815,4377256.048641311
3,415245.40012920124,4417205.9476113105
4,413436.42922462086,4457155.84658131
5,411627.4583200405,4497105.7455513105
6,409818.48741546023,4537055.64452131
7,408009.5165108798,4577005.5434913095
8,406200.5456062995,4616955.442461311
9,404372.79514424654,4657306.051678882
10,,
0,427962.8807403387,4366684.982220215
1,426246.5190455802,4405377.911723701
2,424354.9901471705,4447922.237993702
3,422463.46124876104,4490466.564263701
4,420571.93235035136,4533010.8905337015
5,418680.40345194173,4575555.216803702
6,416788.87455353217,4618099.543073702
7,414897.34565512254,4660643.869343702
8,413005.81675671285,4703188.195613702
9,411108.17986724,4745875.412506314
10,,
0,401841.0249833725,4125732.137054063
1,400151.62709105393,4162857.9041926274
2,398285.63906712714,4203807.109287627
3,396419.65104320046,4244756.314382628
4,394553.66301927366,4285705.519477627
5,392687.6749953469,4326654.724572629
6,390821.68697142025,4367603.929667627
7,388955.6989474934,4408553.134762628
8,387089.71092356666,4449502.339857629
9,385212.7011233388,4490694.085528357
10,,
0,419018.7000913367,4347071.274072004
1,417325.1297403106,4385616.785848261
2,415465.33986727666,4427719.761418261
3,413605.5499942426,4469822.736988261
4,411745.7601212087,4511925.712558261
5,409885.97024817474,4554028.688128262
6,408026.1803751407,4596131.663698261
7,406166.3905021068,4638234.639268261
8,404306.6006290729,4680337.614838261
9,402433.6017285429,4722725.836850402
10,,
0,409612.99601324135,4227370.691701891
1,407974.0067221731,4263327.311030476
2,406158.7206423308,4303113.866660476
3,404343.43456248875,4342900.422290477
4,402528.14848264656,4382686.977920476
5,400712.8624028045,4422473.533550477
6,398897.57632296253,4462260.089180475
7,397082.2902431203,4502046.644810475
8,395267.0041632782,4541833.200440476
9,393442.56975541095,4581814.823925411
10,,
0,414408.2230412939,4240949.357639883
1,412676.0499371354,4279450.6375145875
2,410772.6564095931,4321563.2932495875
3,408869.26288205094,4363675.9489845885
4,406965.8693545086,4405788.604719588
5,405062.47582696634,4447901.260454588
6,403159.08229942404,4490013.916189587
7,401255.6887718818,4532126.571924586
8,399352.2952443394,4574239.227659587
9,397435.0408436252,4616668.009066079
10,,
0,416367.9046640638,4314016.978636818
1,414870.3290927994,4346959.392872847
2,413206.0338826594,4383541.573717846
3,411541.7386725194,4420123.7545628445
4,409877.44346237916,4456705.935407846
5,408213.1482522391,4493288.116252846
6,406548.853042099,4529870.297097846
7,404884.5578319588,4566452.477942847
8,403220.2626218187,4603034.658787847
9,401544.66696215817,4639858.378554944
10,,
0,402117.57936733006,4160274.2255885834
1,400495.0301291308,4196010.591560019
2,398703.0344590392,4235487.557475019
3,396911.03878894745,4274964.523390019
4,395119.0431188559,4314441.489305019
5,393327.04744876444,4353918.455220019
6,391535.05177867285,4393395.421135019
7,389743.0561085812,4432872.38705002
8,387951.0604384896,4472349.352965019
9,386145.9031589149,4512127.38726057
10,,
0,408646.29688059544,4236135.712590267
1,406981.0341228118,4272594.272611759
2,405148.3415243275,4312637.476531758
3,403315.648925843,4352680.680451759
4,401482.95632735855,4392723.8843717575
5,399650.2637288743,4432767.088291758
6,397817.57113039,4472810.292211758
7,395984.8785319055,4512853.496131757
8,394152.1859334211,4552896.700051758
9,392304.56368129974,4593264.447366952
10,,
0,419913.85341789835,4385493.922626692
1,418266.55476812273,4421757.110491794
2,416447.78692070727,4461617.299031794
3,414629.0190732915,4501477.487571794
4,412810.25122587604,4541337.676111794
5,410991.48337846046,4581197.864651794
6,409172.7155310448,4621058.053191793
7,407353.9476836294,4660918.241731794
8,405535.1798362138,4700778.430271792
9,403708.7508677801,4740794.510258498
10,,
0,409660.1848731405,4190729.8003181308
1,408019.3230793201,4227369.4147394
2,406187.4579490438,4268167.7562094
3,404355.5928187674,4308966.0976794
4,402523.727688491,4349764.4391494
5,400691.8625582146,4390562.7806194
6,398859.9974279383,4431361.122089401
7,397028.1322976619,4472159.4635594
8,395196.2671673855,4512957.8050294
9,393360.44696710596,4553838.081990007
10,,
0,405191.95697318437,4160865.0897397553
1,403573.90538134257,4196709.80962401
2,401787.20457630174,4236137.195764009
3,400000.5037712612,4275564.581904009
4,398213.8029662204,4314991.968044009
5,396427.10216117965,4354419.354184008
6,394640.40135613893,4393846.740324009
7,392853.70055109815,4433274.126464009
8,391066.9997460573,4472701.512604008
9,389260.81329329195,4512552.595307211
10,,
0,415866.5352732915,4301407.44398261
1,414085.2572029174,4339571.914447771
2,412113.73531760985,4381822.748597772
3,410142.21343230223,4424073.5827477705
4,408170.6915469948,4466324.416897771
5,406199.16966168716,4508575.2510477705
6,404227.64777637966,4550826.085197771
7,402256.1258910721,4593076.919347771
8,400284.6040057647,4635327.753497771
9,398305.4898511517,4677729.114808375
10,,
0,400440.08850843215,4120850.154159943
1,398794.51833494526,4157658.3920323006
2,396993.0603699065,4197885.9154773
3,395191.6024048678,4238113.438922301
4,393390.14443982905,4278340.962367301
5,391588.68647479016,4318568.4858123
6,389787.2285097513,4358796.009257301
7,387985.7705447127,4399023.532702301
8,386184.31257967383,4439251.0561473
9,384364.88133023883,4479882.933054224
10,,
0,396175.579610897,4076199.913910944
1,394514.81571240874,4112580.4492223407
2,392685.8827451531,4152521.9601273416
3,390856.94977789774,4192463.4710323405
4,389028.01681064226,4232404.98193734
5,387199.0838433868,4272346.492842341
6,385370.1508761313,4312288.003747342
7,383541.2179088757,4352229.514652341
8,381712.2849416203,4392171.025557341
9,379868.05413894076,4432425.498337352
10,,
0,418751.518929228,4328610.991527878
1,417181.17887418694,4364142.332403161
2,415435.86656073545,4403485.7451831605
3,413690.55424728396,4442829.15796316
4,411945.24193383247,4482172.57074316
5,410199.929620381,4521515.983523162
6,408454.6173069295,4560859.396303163
7,406709.304993478,4600202.809083162
8,404963.99268002633,4639546.221863161
9,403203.5939429804,4679190.202727205
10,,
0,405294.24348367087,4213418.261361951
1,403593.5089382295,4251259.039792821
2,401716.60981557344,4292904.316677821
3,399839.7106929172,4334549.593562821
4,397962.8115702609,4376194.87044782
5,396085.9124476048,4417840.147332821
6,394209.0133249485,4459485.424217821
7,392332.1142022922,4501130.701102821
8,390455.215079636,4542775.977987821
9,388565.0782471175,4584717.158723255
10,,
0,432967.32889074896,4444747.255038642
1,431092.38777035545,4486683.215333007
2,429030.7438316638,4532666.1474730065
3,426969.0998929719,4578649.079613008
4,424907.4559542801,4624632.011753008
5,422845.81201558845,4670614.943893008
6,420784.1680768967,4716597.876033007
7,418722.5241382048,4762580.808173006
8,416660.88019951317,4808563.740313007
9,414589.12893938017,4854784.877320757
10,,
0,397404.1902925868,4108764.9793684264
1,395723.3786307776,4146064.4836273524
2,393868.6578782174,4187207.970192352
3,392013.9371256573,4228351.456757352
4,390159.21637309727,4269494.943322352
5,388304.49562053714,4310638.429887352
6,386449.774867977,4351781.916452353
7,384595.0541154169,4392925.403017352
8,382740.33336285676,4434068.889582353
9,380869.1708359653,4475546.679181536
10,,
0,426522.09534227714,4378316.076688088
1,424771.70003649656,4417164.81139793
2,422840.33553357807,4459900.782012929
3,420908.9710306596,4502636.752627929
4,418977.60652774124,4545372.723242929
5,417046.2420248228,4588108.69385793
6,415114.8775219044,4630844.664472928
7,413183.51301898615,4673580.635087929
8,411252.1485160676,4716316.605702929
9,409307.3189593743,4759364.621228565
10,,
0,416009.4583818909,4357772.891262605
1,414315.26095119235,4394470.354019697
2,412430.6672910054,4435241.122294696
3,410546.07363081834,4476011.890569697
4,408661.47997063154,4516782.658844696
5,406776.88631044456,4557553.427119697
6,404892.2926502575,4598324.195394698
7,403007.6989900706,4639094.963669696
8,401123.10532988363,4679865.731944697
9,399217.9499626662,4721042.659702134
10,,
0,426941.55806477944,4412655.370274093
1,425201.79367545864,4450784.98621126
2,423278.4921467508,4492783.00712626
3,421355.1906180428,4534781.028041259
4,419431.88908933493,4576779.048956259
5,417508.587560627,4618777.069871259
6,415585.28603191907,4660775.090786259
7,413661.98450321116,4702773.111701258
8,411738.68297450326,4744771.132616259
9,409807.5822027091,4786940.396362014
10,,
0,420911.9046322236,4290561.638343671
1,419215.8961755511,4328165.181123616
2,417334.521569329,4369799.656928616
3,415453.1469631069,4411434.132733616
4,413571.77235688485,4453068.6085386155
5,411690.3977506628,4494703.084343615
6,409809.0231444407,4536337.560148614
7,407927.6485382187,4577972.035953616
8,406046.27393199666,4619606.511758616
9,404150.4407854709,4661556.482555046
10,,
0,409838.4517163489,4142939.8225366087
1,408146.24485478544,4181495.0668232213
2,406273.88481148926,4224077.700573221
3,404401.52476819296,4266660.334323223
4,402529.16472489684,4309242.968073223
5,400656.80468160065,4351825.601823222
6,398784.44463830435,4394408.235573222
7,396912.0845950081,4436990.869323222
8,395039.724551712,4479573.503073222
9,393158.4355054822,4522345.429928436
10,,
0,399290.3161057937,4126671.842914665
1,397534.2618758948,4166298.617570329
2,395611.5759236993,4209597.084210329
3,393688.8899715038,4252895.550850328
4,391766.2040193083,4296194.017490328
5,389843.5180671129,4339492.4841303285
6,387920.83211491746,4382790.950770329
7,385998.1461627218,4426089.417410328
8,384075.46021052636,4469387.884050329
9,382142.8161360853,4512900.746836715
10,,
0,441763.6731269893,4569953.26025163
1,440010.85568285495,4608799.10109789
2,438073.8651756281,4651625.259197889
3,436136.87466840155,4694451.4172978895
4,434199.88416117465,4737277.57539789
5,432262.89365394803,4780103.733497888
6,430325.90314672125,4822929.89159789
7,428388.91263949464,4865756.04969789
8,426451.9221322678,4908582.20779789
9,424499.85191841814,4951718.796415711
10,,
0,429607.03966092475,4453530.450094197
1,427853.0087295654,4492773.317260866
2,425916.86967959057,4535943.430190867
3,423980.7306296161,4579113.543120867
4,422044.59157964133,4622283.656050866
5,420108.4525296666,4665453.768980867
6,418172.31347969203,4708623.881910867
7,416236.1744297172,4751793.994840866
8,414300.0353797424,4794964.107770866
9,412350.2555233963,4838436.025714452
10,,
0,421699.4097019388,4409705.6495395955
1,420005.89975482336,4446101.275713638
2,418118.8541408001,4486557.6085336385
3,416231.8085267767,4527013.941353639
4,414344.76291275333,4567470.274173639
5,412457.7172987299,4607926.606993639
6,410570.6716847066,4648382.939813638
7,408683.6260706832,4688839.272633639
8,406796.5804566599,4729295.605453638
9,404893.0849237503,4770117.526486093
10,,
0,422284.9240306035,4393019.202798471
1,420586.9772826605,4430822.40966216
2,418726.0050448286,4472190.461747158
3,416865.0328069966,4513558.513832159
4,415004.06056916463,4554926.565917159
5,413143.08833133284,4596294.618002159
6,411282.1160935009,4637662.670087159
7,409421.1438556689,4679030.72217216
8,407560.17161783704,4720398.774257159
9,405681.02781867783,4762151.352199
10,,
0,415583.22735239513,4386196.409274813
1,413852.75201019034,4423432.8794619655
2,411978.1592545798,4463726.012386967
3,410103.5664989691,4504019.145311967
4,408228.9737433584,4544312.278236967
5,406354.38098774763,4584605.411161967
6,404479.7882321369,4624898.544086966
7,402605.19547652634,4665191.677011967
8,400730.60272091563,4705484.809936968
9,398845.55097130843,4745997.232855187
10,,
0,415781.09326406015,4262228.113527714
1,413983.2012352746,4302738.61946127
2,412023.5074476009,4346778.226266269
3,410063.81365992717,4390817.83307127
4,408104.1198722537,4434857.43987627
5,406144.42608457996,4478897.046681269
6,404184.73229690624,4522936.6534862695
7,402225.0385092326,4566976.26029127
8,400265.34472155897,4611015.86709627
9,398287.35071017867,4655454.598604296
0,425834.7870587808,4427019.035528023
1,424033.0834676564,4466511.08636621
2,422053.3443669431,4509777.9615262095
3,420073.60526622983,4553044.83668621
4,418093.8661655166,4596311.71184621
5,416114.1270648033,4639578.587006209
6,414134.3879640901,4682845.462166208
7,412154.6488633767,4726112.337326209
8,410174.9097626636,4769379.21248621
9,408186.45169127,4812839.878327631
10,,
0,406479.9865856348,4166027.441140425
1,404710.26213472395,4205771.049077329
2,402770.8102311347,4249292.59897233
3,400831.3583275456,4292814.1488673305
4,398891.9064239564,4336335.69876233
5,396952.4545203672,4379857.24865733
6,395013.002616778,4423378.798552331
7,393073.5507131889,4466900.348447328
8,391134.0988095997,4510421.89834233
9,389187.3164256254,4554097.707482504
10,,
0,400040.5808108229,4146968.125411344
1,398290.9015172296,4186184.6630724156
2,396387.5882662909,4228754.190767416
3,394484.2750153523,4271323.718462416
4,392580.96176441363,4313893.246157416
5,390677.64851347485,4356462.773852416
6,388774.33526253625,4399032.3015474165
7,386871.0220115975,4441601.829242418
8,384967.70876065874,4484171.356937416
9,383056.052723313,4526927.57719973
10,,
0,417935.85649379354,4252830.917816488
1,416249.3567946907,4290972.311774179
2,414390.7477607053,4332906.222264179
3,412532.13872671995,4374840.132754181
4,410673.5296927346,4416774.043244179
5,408814.9206587492,4458707.953734179
6,406956.3116247639,4500641.86422418
7,405097.70259077847,4542575.77471418
8,403239.09355679306,4584509.68520418
9,401363.91344345483,4626795.638134959
10,,
0,401175.8696889414,4194186.0502372966
1,399552.6465289917,4230241.721086985
2,397730.52322381677,4270468.223991985
3,395908.39991864195,4310694.726896985
4,394086.27661346714,4350921.229801985
5,392264.1533082921,4391147.732706985
6,390442.0300031172,4431374.2356119845
7,388619.9066979423,4471600.738516985
8,386797.7833927674,4511827.241421985
9,384965.94201949507,4552277.063244706
10,,
0,401599.46458399476,4295811.660448697
1,399856.3527091947,4333452.505124125
2,397936.6981126283,4374731.702339125
3,396017.0435160619,4416010.899554126
4,394097.38891949545,4457290.096769124
5,392177.7343229291,4498569.2939841235
6,390258.07972636283,4539848.491199125
7,388338.42512979655,4581127.688414125
8,386418.77053323016,4622406.885629125
9,384490.69548379077,4663868.807462276
10,,
0,415272.82393829623,4340933.976701535
1,413536.65974680067,4379424.511518666
2,411622.36134595657,4421765.109023665
3,409708.06294511247,4464105.7065286655
4,407793.7645442684,4506446.304033665
5,405879.46614342416,4548786.901538666
6,403965.16774258006,4591127.499043666
7,402050.86934173596,4633468.096548666
8,400136.5709408918,4675808.694053665
9,398213.7016201047,4718369.468100101
10,,
0,428922.6268560824,4427623.288947614
1,427210.4453624751,4466160.061519186
2,425329.5918365026,4508361.727614187
3,423448.73831053026,4550563.393709186
4,421567.8847845577,4592765.059804186
5,419687.03125858534,4634966.725899187
6,417806.17773261294,4677168.391994186
7,415925.32420664054,4719370.058089187
8,414044.47068066814,4761571.724184185
9,412151.5858692929,4804039.527473076
10,,
0,441988.28221800254,4578671.367867234
1,440334.9528004832,4615095.073712202
2,438513.31170219247,4655089.6366372015
3,436691.67060390196,4695084.1995622
4,434870.0295056113,4735078.762487201
5,433048.3884073207,4775073.325412201
6,431226.74730903003,4815067.8883372005
7,429405.10621073935,4855062.451262202
8,427583.4651124487,4895057.014187201
9,425753.112186731,4935233.352807845
10,,
0,421562.6750204629,4383284.990271917
1,419937.0151760964,4419341.212832745
2,418157.2948107998,4458605.760062746
3,416377.57444550336,4497870.307292745
4,414597.85408020695,4537134.854522746
5,412818.1337149105,4576399.401752746
6,411038.41334961395,4615663.948982745
7,409258.6929843176,4654928.496212745
8,407478.9726190209,4694193.043442746
9,405685.20330924104,4733771.509819541
10,,
0,421694.136822176,4377292.544594859
1,420035.65366104664,4413919.922134952
2,418212.2621931229,4454106.405709952
3,416388.87072519906,4494292.889284953
4,414565.4792572753,4534479.372859953
5,412742.08778935147,4574665.856434952
6,410918.6963214278,4614852.340009953
7,409095.304853504,4655038.823584951
8,407271.91338558024,4695225.307159952
9,405437.50497010886,4735660.265764745
10,,
0,402803.9937538899,4121544.0394551083
1,401206.94261617097,4157833.369782656
2,399442.76690382045,4197814.444132656
3,397678.5911914698,4237795.518482655
4,395914.41547911917,4277776.592832655
5,394150.23976676865,4317757.667182656
6,392386.06405441795,4357738.741532655
7,390621.8883420674,4397719.815882656
8,388857.7126297168,4437700.890232655
9,387076.6837483558,4478071.645341727
10,,
0,419058.78322841506,4354615.4901943635
1,417348.99743863405,4392316.558629609
2,415461.4790680159,4433830.820224608
3,413573.9606973977,4475345.081819608
4,411686.44232677965,4516859.343414608
5,409798.92395616154,4558373.605009608
6,407911.40558554337,4599887.866604607
7,406023.8872149253,4641402.128199608
8,404136.3688443071,4682916.389794609
9,402226.6335812297,4724931.873159934
10,,
0,443370.78618416237,4634918.816169593
1,441761.43737470335,4670936.2752391575
2,439975.03294822184,4710797.749309158
3,438188.6285217403,4750659.223379157
4,436402.22409525875,4790520.697449157
5,434615.8196687773,4830382.171519157
6,432829.4152422958,4870243.645589157
7,431043.0108158141,4910105.119659157
8,429256.6063893327,4949966.593729158
9,427453.1670586786,4990178.300617582
10,,
0,412426.51190188987,4271075.1562782135
1,410746.1627067618,4308002.68162216
2,408895.0089275928,4348573.31893716
3,407043.8551484236,4389143.95625216
4,405192.70136925456,4429714.59356716
5,403341.54759008565,4470285.23088216
6,401490.39381091646,4510855.86819716
7,399639.24003174744,4551426.505512161
8,397788.08625257853,4591997.142827161
9,395922.61193065584,4632881.159194901
10,,
0,419459.6467599944,4347139.544503255
1,417768.6731094198,4384340.09900059
2,415897.6976204045,4425361.33648059
3,414026.722131389,4466382.57396059
4,412155.7466423736,4507403.811440591
5,410284.7711533582,4548425.04892059
6,408413.79566434276,4589446.286400589
7,406542.82017532736,4630467.523880589
8,404671.8446863119,4671488.761360589
9,402787.4844702895,4712808.515786547
10,,
0,422991.68045055174,4325140.991183612
1,421314.77644154045,4363047.21198988
2,419456.74600958975,4404875.961964882
3,417598.71557763894,4446704.711939881
4,415740.68514568824,4488533.461914882
5,413882.6547137375,4530362.211889882
6,412024.6242817869,4572190.961864881
7,410166.59384983603,4614019.711839881
8,408308.56341788545,4655848.461814879
9,406442.88452147035,4697832.700668215
10,,
0,422735.38055904774,4364897.964564868
1,421108.56743242807,4400825.300561104
2,419290.46360247274,4440894.591031103
3,417472.35977251735,4480963.881501105
4,415654.25594256195,4521033.171971105
5,413836.1521126067,4561102.4624411035
6,412018.04828265146,4601171.752911105
7,410199.944452696,4641241.043381104
8,408381.8406227408,4681310.333851105
9,406557.1689401246,4721517.878207921
10,,
0,401704.971940947,4173329.0200137934
1,400039.46911352116,4210874.677055708
2,398204.63904217794,4252073.552735709
3,396369.8089708347,4293272.428415708
4,394534.97889949166,4334471.304095708
5,392700.1488281484,4375670.179775709
6,390865.31875680515,4416869.055455708
7,389030.488685462,4458067.9311357085
8,387195.65861411893,4499266.806815709
9,385353.8047593448,4540599.43592132
10,,
0,429602.40111609065,4441582.430563131
1,427837.6060834006,4480418.452901088
2,425883.88953928195,4523299.381076088
3,423930.1729951635,4566180.309251087
4,421976.456451045,4609061.237426088
5,420022.73990692635,4651942.165601088
6,418069.02336280775,4694823.093776088
7,416115.3068186893,4737704.021951088
8,414161.5902745708,4780584.950126086
9,412196.29372794094,4823716.576246832
10,,
0,408979.732874856,4224187.040181952
1,407252.62287625525,4263385.522597509
2,405354.26342462096,4306390.168982509
3,403455.9039729868,4349394.815367509
4,401557.5445213525,4392399.461752509
5,399659.18506971846,4435404.108137509
6,397760.82561808417,4478408.754522509
7,395862.4661664501,4521413.400907508
8,393964.1067148158,4564418.04729251
9,392055.37152781023,4607646.523869469
10,,
0,420869.87234784383,4334105.744964048
1,419158.4589907231,4372462.058244008
2,417277.96206553606,4414475.807374008
3,415397.465140349,4456489.556504007
4,413516.96821516193,4498503.305634009
5,411636.4712899749,4540517.054764007
6,409755.97436478786,4582530.803894007
7,407875.4774396009,4624544.553024008
8,405994.9805144138,4666558.302154008
9,404107.61855785816,4708722.364472542
10,,
0,411041.4281507329,4215664.049515141
1,409433.8284544063,4251019.074107716
2,407630.6425910681,4290595.496317715
3,405827.45672772976,4330171.918527716
4,404024.27086439147,4369748.340737716
5,402221.0850010531,4409324.762947717
6,400417.8991377149,4448901.185157716
7,398614.7132743765,4488477.607367718
8,396811.52741103823,4528054.029577716
9,395002.7185592187,4567751.36769022
10,,
0,399485.57613099186,4220458.501887737
1,397804.8023373383,4256978.847300861
2,395950.93163827446,4297141.445640859
3,394097.0609392109,4337304.043980861
4,392243.1902401471,4377466.642320861
5,390389.31954108336,4417629.240660859
6,388535.44884201966,4457791.83900086
7,386681.5781429559,4497954.43734086
8,384827.70744389226,4538117.03568086
9,382954.2903247573,4578720.385015561
10,,
0,397316.6192877141,4129429.2027728413
1,395563.15022192156,4168115.788367162
2,393634.19200024346,4210558.123417163
3,391705.23377856525,4253000.458467163
4,389776.27555688703,4295442.793517163
5,387847.31733520894,4337885.128567163
6,385918.3591135308,4380327.463617163
7,383989.40089185257,4422769.798667164
8,382060.4426701744,4465212.133717163
9,380120.37839612033,4507887.2787557095
10,,
0,431101.2706163388,4518119.100246521
1,429354.67888263875,4556798.459367569
2,427425.22064720164,4599318.448167569
3,425495.7624117644,4641838.436967567
4,423566.30417632725,4684358.425767568
5,421636.84594089014,4726878.414567567
6,419707.387705453,4769398.403367569
7,417777.92947001575,4811918.392167569
8,415848.47123457876,4854438.380967568
9,413892.6257402291,4897469.494622787
10,,
0,422728.2961188833,4317086.435660924
1,421004.7012048051,4355344.195389091
2,419126.86823953607,4396974.39083909
3,417249.03527426685,4438604.58628909
4,415371.2023089979,4480234.781739091
5,413493.3693437289,4521864.977189091
6,411615.5363784598,4563495.172639091
7,409737.70341319067,4605125.368089091
8,407859.8704479216,4646755.56353909
9,405970.7145248563,4688635.604455475
10,,
0,402340.0173777095,4155311.6346379924
1,400699.04380460974,4191872.4028298887
2,398889.57616239996,4232078.205124889
3,397080.10852019035,4272284.007419889
4,395270.6408779805,4312489.809714889
